coral_id,row,parent_colony,treatment_full,treatment_skeleton,treatment_drupella,exclude_date,exclude_reason
1,1,1,loboph_drupella,loboph,y,2023-10-28,culcita
3,1,1,control,control,n,NA,NA
4,1,1,control_drupella,control,y,2023-08-23,culcita
5,1,1,hali,hali,n,NA,NA
6,1,1,skeleton,skeleton,n,NA,NA
8,1,1,hali_drupella,hali,y,NA,NA
9,1,1,skeleton_drupella,skeleton,y,NA,NA
10,1,1,loboph,loboph,n,NA,NA
11,1,2,hali,hali,n,NA,NA
12,1,2,loboph,loboph,n,NA,NA
13,1,2,hali_drupella,hali,y,NA,NA
15,1,2,loboph_drupella,loboph,y,NA,NA
16,1,2,skeleton_drupella,skeleton,y,NA,NA
17,1,2,control_drupella,control,y,NA,NA
19,1,2,skeleton,skeleton,n,NA,NA
20,1,2,control,control,n,NA,NA
21,1,3,control_drupella,control,y,NA,NA
22,1,3,skeleton,skeleton,n,2023-10-14,culcita
24,1,3,skeleton_drupella,skeleton,y,2023-10-14,culcita
25,1,3,loboph,loboph,n,NA,NA
27,1,3,hali_drupella,hali,y,NA,NA
28,1,3,control,control,n,NA,NA
29,1,3,hali,hali,n,NA,NA
30,1,3,loboph_drupella,loboph,y,2023-09-26,culcita
31,2,4,control_drupella,control,y,NA,NA
32,2,4,loboph_drupella,loboph,y,NA,NA
33,2,4,hali,hali,n,NA,NA
34,2,4,hali_drupella,hali,y,NA,NA
35,2,4,skeleton_drupella,skeleton,y,NA,NA
36,2,4,skeleton,skeleton,n,NA,NA
38,2,4,control,control,n,NA,NA
39,2,4,loboph,loboph,n,NA,NA
43,2,5,hali,hali,n,NA,NA
44,2,5,loboph,loboph,n,NA,NA
45,2,5,loboph_drupella,loboph,y,NA,NA
46,2,5,skeleton,skeleton,n,NA,NA
47,2,5,control_drupella,control,y,NA,NA
48,2,5,hali_drupella,hali,y,NA,NA
49,2,5,control,control,n,NA,NA
50,2,5,skeleton_drupella,skeleton,y,NA,NA
51,2,6,loboph,loboph,n,NA,NA
52,2,6,skeleton_drupella,skeleton,y,NA,NA
53,2,6,skeleton,skeleton,n,NA,NA
54,2,6,hali_drupella,hali,y,NA,NA
56,2,6,control_drupella,control,y,NA,NA
57,2,6,control,control,n,NA,NA
59,2,6,loboph_drupella,loboph,y,NA,NA
60,2,6,hali,hali,n,NA,NA
61,3,7,loboph,loboph,n,NA,NA
62,3,7,hali_drupella,hali,y,NA,NA
63,3,7,loboph_drupella,loboph,y,NA,NA
64,3,7,skeleton,skeleton,n,NA,NA
65,3,7,control_drupella,control,y,NA,NA
66,3,7,control,control,n,NA,NA
68,3,7,hali,hali,n,2023-08-11,drupella
69,3,7,skeleton_drupella,skeleton,y,NA,NA
71,3,8,skeleton_drupella,skeleton,y,NA,NA
72,3,8,loboph_drupella,loboph,y,NA,NA
74,3,8,control,control,n,NA,NA
76,3,8,loboph,loboph,n,NA,NA
77,3,8,control_drupella,control,y,NA,NA
78,3,8,hali_drupella,hali,y,NA,NA
79,3,8,hali,hali,n,NA,NA
80,3,8,skeleton,skeleton,n,NA,NA
81,3,9,skeleton_drupella,skeleton,y,NA,NA
82,3,9,control_drupella,control,y,2023-10-21,culcita
83,3,9,hali_drupella,hali,y,2023-08-23,sediment and culcita
85,3,9,control,control,n,NA,NA
86,3,9,hali,hali,n,NA,NA
87,3,9,loboph,loboph,n,NA,NA
88,3,9,skeleton,skeleton,n,NA,NA
89,3,9,loboph_drupella,loboph,y,NA,NA
91,4,10,control_drupella,control,y,NA,NA
92,4,10,loboph,loboph,n,NA,NA
93,4,10,skeleton_drupella,skeleton,y,NA,NA
94,4,10,hali_drupella,hali,y,NA,NA
97,4,10,skeleton,skeleton,n,NA,NA
98,4,10,hali,hali,n,NA,NA
99,4,10,control,control,n,NA,NA
100,4,10,loboph_drupella,loboph,y,NA,NA
101,4,11,hali,hali,n,NA,NA
102,4,11,control,control,n,NA,NA
104,4,11,loboph_drupella,loboph,y,NA,NA
105,4,11,skeleton_drupella,skeleton,y,2023-07-28,drupella
106,4,11,loboph,loboph,n,NA,NA
107,4,11,control_drupella,control,y,NA,NA
109,4,11,skeleton,skeleton,n,NA,NA
110,4,11,hali_drupella,hali,y,2023-08-11,drupella
111,4,12,skeleton_drupella,skeleton,y,NA,NA
112,4,12,skeleton,skeleton,n,2023-08-31,culcita
113,4,12,control_drupella,control,y,NA,NA
115,4,12,loboph,loboph,n,NA,NA
116,4,12,hali_drupella,hali,y,NA,NA
118,4,12,loboph_drupella,loboph,y,NA,NA
119,4,12,control,control,n,NA,NA
120,4,12,hali,hali,n,2023-10-07,culcita
121,5,13,skeleton_drupella,skeleton,y,NA,NA
122,5,13,hali_drupella,hali,y,NA,NA
123,5,13,hali,hali,n,NA,NA
124,5,13,control,control,n,NA,NA
125,5,13,loboph_drupella,loboph,y,NA,NA
127,5,13,loboph,loboph,n,NA,NA
129,5,13,control_drupella,control,y,NA,NA
130,5,13,skeleton,skeleton,n,NA,NA
131,5,14,control_drupella,control,y,NA,NA
132,5,14,loboph,loboph,n,NA,NA
134,5,14,hali_drupella,hali,y,NA,NA
136,5,14,skeleton_drupella,skeleton,y,NA,NA
137,5,14,loboph_drupella,loboph,y,NA,NA
138,5,14,hali,hali,n,NA,NA
139,5,14,skeleton,skeleton,n,NA,NA
140,5,14,control,control,n,NA,NA
141,5,15,skeleton_drupella,skeleton,y,NA,NA
142,5,15,skeleton,skeleton,n,2023-10-21,culcita
143,5,15,control,control,n,2023-08-31,culcita
144,5,15,control_drupella,control,y,NA,NA
145,5,15,hali_drupella,hali,y,2023-10-15,culcita
146,5,15,loboph_drupella,loboph,y,NA,NA
147,5,15,loboph,loboph,n,NA,NA
150,5,15,hali,hali,n,NA,NA
