coral_id,censored,exclude_date,exclude_reason,observe_date,wound_healed
1,1,2023-10-28,culcita,2023-07-22,0
1,1,2023-10-28,culcita,2023-07-28,0
1,1,2023-10-28,culcita,2023-07-29,0
1,1,2023-10-28,culcita,2023-08-04,0
1,1,2023-10-28,culcita,2023-08-11,0
1,1,2023-10-28,culcita,2023-08-23,0
1,1,2023-10-28,culcita,2023-08-31,0
1,1,2023-10-28,culcita,2023-09-06,0
1,1,2023-10-28,culcita,2023-09-17,1
4,0,2023-08-23,culcita,2023-07-22,0
4,0,2023-08-23,culcita,2023-07-28,0
4,0,2023-08-23,culcita,2023-08-04,0
4,0,2023-08-23,culcita,2023-08-11,0
8,1,NA,NA,2023-07-22,0
8,1,NA,NA,2023-07-29,0
8,1,NA,NA,2023-08-04,0
8,1,NA,NA,2023-08-11,0
8,1,NA,NA,2023-08-23,0
8,1,NA,NA,2023-08-31,0
8,1,NA,NA,2023-09-06,0
8,1,NA,NA,2023-09-17,0
8,1,NA,NA,2023-09-26,0
8,1,NA,NA,2023-09-30,0
8,1,NA,NA,2023-10-07,0
8,1,NA,NA,2023-10-14,0
8,1,NA,NA,2023-10-21,1
9,1,NA,NA,2023-07-22,0
9,1,NA,NA,2023-07-28,0
9,1,NA,NA,2023-07-29,0
9,1,NA,NA,2023-08-04,0
9,1,NA,NA,2023-08-11,0
9,1,NA,NA,2023-08-23,0
9,1,NA,NA,2023-08-31,0
9,1,NA,NA,2023-09-06,0
9,1,NA,NA,2023-09-17,1
13,1,NA,NA,2023-07-22,0
13,1,NA,NA,2023-07-29,0
13,1,NA,NA,2023-08-04,0
13,1,NA,NA,2023-08-11,0
13,1,NA,NA,2023-08-23,1
15,1,NA,NA,2023-07-22,0
15,1,NA,NA,2023-07-29,0
15,1,NA,NA,2023-08-04,0
15,1,NA,NA,2023-08-11,0
15,1,NA,NA,2023-08-23,0
15,1,NA,NA,2023-08-31,0
15,1,NA,NA,2023-09-06,0
15,1,NA,NA,2023-09-17,0
15,1,NA,NA,2023-09-26,0
15,1,NA,NA,2023-09-30,0
15,1,NA,NA,2023-10-07,0
15,1,NA,NA,2023-10-14,0
15,1,NA,NA,2023-10-21,1
16,1,NA,NA,2023-07-22,0
16,1,NA,NA,2023-07-29,0
16,1,NA,NA,2023-08-04,0
16,1,NA,NA,2023-08-11,0
16,1,NA,NA,2023-08-23,0
16,1,NA,NA,2023-08-31,0
16,1,NA,NA,2023-09-06,0
16,1,NA,NA,2023-09-17,0
16,1,NA,NA,2023-09-26,0
16,1,NA,NA,2023-09-30,0
16,1,NA,NA,2023-10-07,0
16,1,NA,NA,2023-10-14,1
17,1,NA,NA,2023-07-22,0
17,1,NA,NA,2023-07-29,0
17,1,NA,NA,2023-08-04,0
17,1,NA,NA,2023-08-11,0
17,1,NA,NA,2023-08-23,1
21,1,NA,NA,2023-07-22,0
21,1,NA,NA,2023-07-29,0
21,1,NA,NA,2023-08-04,0
21,1,NA,NA,2023-08-11,0
21,1,NA,NA,2023-08-23,0
21,1,NA,NA,2023-08-31,1
24,1,2023-10-14,culcita,2023-07-22,0
24,1,2023-10-14,culcita,2023-07-29,0
24,1,2023-10-14,culcita,2023-08-04,0
24,1,2023-10-14,culcita,2023-08-11,0
24,1,2023-10-14,culcita,2023-08-23,1
27,1,NA,NA,2023-07-22,0
27,1,NA,NA,2023-07-29,0
27,1,NA,NA,2023-08-04,0
27,1,NA,NA,2023-08-11,0
27,1,NA,NA,2023-08-23,1
30,1,2023-09-26,culcita,2023-07-22,0
30,1,2023-09-26,culcita,2023-07-29,0
30,1,2023-09-26,culcita,2023-08-04,0
30,1,2023-09-26,culcita,2023-08-11,0
30,1,2023-09-26,culcita,2023-08-23,1
31,1,NA,NA,2023-07-22,0
31,1,NA,NA,2023-07-29,0
31,1,NA,NA,2023-08-05,0
31,1,NA,NA,2023-08-11,0
31,1,NA,NA,2023-08-23,1
32,1,NA,NA,2023-07-22,0
32,1,NA,NA,2023-07-29,0
32,1,NA,NA,2023-08-05,0
32,1,NA,NA,2023-08-11,0
32,1,NA,NA,2023-08-23,0
32,1,NA,NA,2023-08-31,1
34,1,NA,NA,2023-07-22,0
34,1,NA,NA,2023-07-29,0
34,1,NA,NA,2023-08-05,0
34,1,NA,NA,2023-08-11,0
34,1,NA,NA,2023-08-23,1
35,1,NA,NA,2023-07-22,0
35,1,NA,NA,2023-07-29,0
35,1,NA,NA,2023-08-05,0
35,1,NA,NA,2023-08-11,0
35,1,NA,NA,2023-08-23,0
35,1,NA,NA,2023-08-31,1
45,1,NA,NA,2023-07-22,0
45,1,NA,NA,2023-07-29,0
45,1,NA,NA,2023-08-05,0
45,1,NA,NA,2023-08-11,0
45,1,NA,NA,2023-08-23,0
45,1,NA,NA,2023-08-31,0
45,1,NA,NA,2023-09-06,0
45,1,NA,NA,2023-09-17,1
47,0,NA,NA,2023-07-22,0
47,0,NA,NA,2023-07-29,0
47,0,NA,NA,2023-08-05,0
47,0,NA,NA,2023-08-11,0
47,0,NA,NA,2023-08-23,0
47,0,NA,NA,2023-08-31,0
47,0,NA,NA,2023-09-06,0
47,0,NA,NA,2023-09-17,0
47,0,NA,NA,2023-09-26,0
47,0,NA,NA,2023-09-30,0
47,0,NA,NA,2023-10-07,0
47,0,NA,NA,2023-10-14,0
47,0,NA,NA,2023-10-21,0
47,0,NA,NA,2023-10-28,0
48,0,NA,NA,2023-07-22,0
48,0,NA,NA,2023-07-29,0
48,0,NA,NA,2023-08-05,0
48,0,NA,NA,2023-08-11,0
48,0,NA,NA,2023-08-23,0
48,0,NA,NA,2023-08-31,0
48,0,NA,NA,2023-09-06,0
48,0,NA,NA,2023-09-17,0
48,0,NA,NA,2023-09-26,0
48,0,NA,NA,2023-09-30,0
48,0,NA,NA,2023-10-07,0
48,0,NA,NA,2023-10-14,0
48,0,NA,NA,2023-10-21,0
48,0,NA,NA,2023-10-28,0
50,1,NA,NA,2023-07-22,0
50,1,NA,NA,2023-07-29,0
50,1,NA,NA,2023-08-05,0
50,1,NA,NA,2023-08-11,0
50,1,NA,NA,2023-08-23,0
50,1,NA,NA,2023-08-31,0
50,1,NA,NA,2023-09-06,0
50,1,NA,NA,2023-09-17,1
52,1,NA,NA,2023-07-22,0
52,1,NA,NA,2023-07-29,0
52,1,NA,NA,2023-08-04,0
52,1,NA,NA,2023-08-11,1
54,1,NA,NA,2023-07-22,0
54,1,NA,NA,2023-07-29,0
54,1,NA,NA,2023-08-04,0
54,1,NA,NA,2023-08-11,1
56,1,NA,NA,2023-07-22,0
56,1,NA,NA,2023-07-29,0
56,1,NA,NA,2023-08-04,0
56,1,NA,NA,2023-08-11,0
56,1,NA,NA,2023-08-23,0
56,1,NA,NA,2023-08-31,0
56,1,NA,NA,2023-09-06,0
56,1,NA,NA,2023-09-17,1
59,1,NA,NA,2023-07-22,0
59,1,NA,NA,2023-07-29,0
59,1,NA,NA,2023-08-04,0
